file,fps,frames,duration,width,height
1_Castor_Canada.mp4,20.0,600,30.0,2688,1520
2_Castor_Canada.mp4,20.0,600,30.0,2688,1520
3_Castor_Canada.mp4,20.0,600,30.0,2688,1520
4_Castor_Canada.mp4,120.0,3252,27.1,1920,1080
AlpineStabilised.mp4,12.5,897,71.76,3840,2160
Arrow_Gopro_Seeded_notStabilised.avi,5.0,99,19.8,464,505
Arrow_GoPro_Seeded_Stabilised.avi,5.0,98,19.6,464,505
Arrow_Gopro_UnSeeded_notStabilised.avi,5.0,99,19.8,464,505
Arrow_GoPro_Unseeded_Stabilised.avi,5.0,99,19.8,464,505
Arrow_UAS_Seeded_notStabilised.avi,5.0,99,19.8,464,505
Arrow_UAS_Seeded_Stabilised.avi,5.0,99,19.8,464,505
Arrow_UAS_Unseeded_notStabilised.avi,5.0,99,19.8,464,505
Arrow_UAS_Unseeded_Stabilised.avi,5.0,99,19.8,464,505
Brenta1.avi,25.0,500,20.0,1430,1080
BrentaFLIR.avi,5.0,80,16.0,404,240
LaMorge_orthorectified.avi,5.0,48,9.6,1550,950
LaVence.avi,30.0,150,5.0,320,755
RiverBradano_NonStabilised.avi,24.0,600,25.0,1920,1080
RiverBradano_Stabilised.avi,24.0,600,25.0,1920,1080
RiverNoce_12_fps.avi,12.0,70,5.833333333333333,1920,1080
SalmonRiver_notStabilised.mp4,23.976023976023978,1458,60.81075,1920,1080
StJulien.avi,25.0,51,2.04,367,701
Thalhofen.avi,30.0,56,1.8666666666666667,700,2748
Tiber.avi,6.95,410,58.99280575539568,865,530
